ligando,score_kcal_mol
34741,-9.0
19396,-9.8
16516,-7.8
15480,-8.5
62175,-6.0
31553,-7.9
10057,-8.4
27686,-9.0
24205,-6.1
33848,-9.7
28690,-7.8
11594,-6.7
25831,-8.4
17999,-6.6
21244,-7.5
29156,-8.3
30674,-8.2
22263,-8.1
16252,-7.8
17858,-9.4
13305,-9.3
17177,-6.7
10008385,-7.2
15580,-6.0
33270,-8.8
22208,-9.1
15337,-8.4
80689,-8.1
11767,-8.6
31452,-8.0
29028,-8.7
20311,-7.6
15632,-9.3
19170,-8.8
18860,-7.6
19580,-8.4
10676,-8.0
12077,-9.1
18482,-9.5
11997,-7.4
9003558,-6.5
34268,-7.8
22069,-10.3
14972,-6.4
35503,-8.1
22670,-7.9
22961,-8.2
10009584,-6.7
27621,-7.4
19996,-9.1
27924,-7.7
29790,-7.9
11009,-6.1
10010102,-7.5
23729,-7.3
14724,-6.8
30978,-8.1
21198,-8.1
10006309,-7.9
14298,-8.1
19750,-7.1
21338,-8.7
28879,-7.2
19241,-8.0
23146,-9.3
31742,-8.8
36129,-7.8
23438,-7.4
23781,-7.8
27800,-8.1
18713,-7.9
25534,-6.5
11181,-7.7
11163,-9.2
19189,-9.2
21274,-8.2
21359,-7.7
34253,-8.2
19168,-7.6
37058,-7.2
11773,-8.3
20739,-7.7
22580,-6.0
24283,-8.7
14440,-9.0
28913,-8.7
19230,-7.6
21307,-8.7
9000288,-6.6
12054,-8.7
10008377,-7.6
13883,-6.9
29441,-8.7
27034,-7.9
29713,-7.0
29655,-8.4
16339,-8.2
10008294,-6.7
26507,-7.6
27156,-8.6
12018,-8.4
10009134,-8.3
11593,-9.8
16551,-7.9
16727,-8.7
20396,-7.7
18267,-7.3
21872,-7.2
20271,-8.8
35609,-8.0
18026,-7.8
27341,-7.4
36876,-9.4
16079,-6.0
27668,-9.3
19719,-8.4
17622,-6.6
15268,-8.9
10570,-7.0
14554,-8.3
15187,-9.4
9001234,-6.2
9001533,-8.1
9002630,-10.3
20925,-8.7
20354,-8.3
28158,-7.6
19946,-8.4
21685,-7.9
18183,-8.4
11142,-6.2
9001990,-7.4
27312,-7.1
23414,-8.5
17950,-7.2
14062,-8.5
31173,-8.4
17214,-7.6
15322,-6.4
19366,-8.0
13563,-9.1
27445,-6.5
16496,-8.4
15488,-7.3
29742,-7.0
18651,-7.0
31369,-5.7
20117,-9.0
14715,-7.8
23083,-7.8
29145,-7.6
23133,-8.2
30804,-7.1
36136,-7.4
23688,-8.3
14943,-8.3
15272,-7.6
19577,-8.4
70935,-9.1
25555,-8.2
28434,-8.0
